#   npix      mod  mod_pix          X(foc)         Y(foc)          theta             phi        omt(foc)        omt(ffr)
       0        0        0   13.5099960000   15.600000000    2.372455031  138.8837966551  -22.5000000000  -22.8041744408 
       1        0        1   13.5099960000    7.800000000    1.792485447  119.9099665885  -22.5000000000  -22.6520971076 
       2        0        2   13.5099960000   -0.000000000    1.551624592   90.0000000000  -22.5000000000  -22.5000000000 
       3        0        3   13.5099960000   -7.800000000    1.792485447   60.0900334115  -22.5000000000  -22.3479028924 
       4        0        4   13.5099960000  -15.600000000    2.372455031   41.1162033450  -22.5000000000  -22.1958255592 
       5        0        5    6.7549980000  -11.700000000    1.549865387   30.1074228277   22.5000000000   22.7159378028 
       6        0        6    6.7549980000   -3.900000000    0.893099482   59.9693289885   22.5000000000   22.5719827094 
       7        0        7    6.7549980000    3.900000000    0.893099482  120.0306710115   22.5000000000   22.4280172906 
       8        0        8    6.7549980000   11.700000000    1.549865387  149.8925771722   22.5000000000   22.2840621972 
       9        0        9    0.0000000000   15.600000000    1.787618823  179.8273537408  -22.5000000000  -22.7716055351 
      10        0       10    0.0000000000    7.800000000    0.893927704 -179.9380072064  -22.5000000000  -22.6358136101 
      11        0       11    0.0000000000   -0.000000000    0.003086749  -89.9999999949  -22.5000000000  -22.5000000000 
      12        0       12    0.0000000000   -7.800000000    0.893927704   -0.0619927937  -22.5000000000  -22.3641863899 
      13        0       13    0.0000000000  -15.600000000    1.787618823    0.1726462593  -22.5000000000  -22.2283944649 
      14        0       14   -6.7549980000  -11.700000000    1.546598913  -29.8978650188   22.5000000000   22.6914704010 
      15        0       15   -6.7549980000   -3.900000000    0.894774607  -60.0313331298   22.5000000000   22.5638272735 
      16        0       16   -6.7549980000    3.900000000    0.894774607 -119.9686668702   22.5000000000   22.4361727265 
      17        0       17   -6.7549980000   11.700000000    1.546598913 -150.1021349812   22.5000000000   22.3085295990 
      18        0       18  -13.5099960000   15.600000000    2.357123113 -139.3135739082  -22.5000000000  -22.7389341566 
      19        0       19  -13.5099960000    7.800000000    1.783166971 -120.0825804982  -22.5000000000  -22.6194791516 
      20        0       20  -13.5099960000   -0.000000000    1.545092345  -90.0000000000  -22.5000000000  -22.5000000000 
      21        0       21  -13.5099960000   -7.800000000    1.783166971  -59.9174195018  -22.5000000000  -22.3805208484 
