#npix,mod,mod pix,X(foc),Y(foc),theta,phi,omt(foc),omt(ffr)
0,0,0,26.7129,10.2818,3.2567345362,248.7996893145,22.5,22.3011547005
1,0,1,26.7129,5.14091,3.0954093728,259.033255839,22.5,22.4005490318
2,0,2,26.7129,0,3.0397342236,270,22.5,22.5
3,0,3,26.7129,-5.14091,3.0954093728,-79.033255839,22.5,22.5994509682
4,0,4,26.7129,-10.2818,3.2567345362,-68.7996893145,22.5,22.6988452995
5,0,5,22.2608,17.9932,3.2597587791,230.7884555448,-22.5,-22.8420136172
6,0,6,22.2608,12.8523,2.9285759783,239.8175152908,-22.5,-22.7444796173
7,0,7,22.2608,7.71136,2.6852117953,250.7873159316,-22.5,-22.6467041786
8,0,8,22.2608,2.57045,2.5535725366,263.3786119972,-22.5,-22.5489441102
9,0,9,22.2608,-2.57045,2.5535725366,-83.3786119972,-22.5,-22.4510558898
10,0,10,22.2608,-7.71136,2.6852117953,-70.7873159316,-22.5,-22.3532958214
11,0,11,22.2608,-12.8523,2.9285759783,-59.8175152908,-22.5,-22.2555203827
12,0,12,22.2608,-17.9932,3.2597587791,-50.7884555448,-22.5,-22.1579863828
13,0,13,17.8086,20.5636,3.1017691839,220.5930261101,22.5,22.1157760676
14,0,14,17.8086,15.4227,2.6876566789,228.8917630908,22.5,22.2116340286
15,0,15,17.8086,10.2818,2.3471939644,239.8655357975,22.5,22.3076616681
16,0,16,17.8086,5.14091,2.116189246,253.8348463015,22.5,22.4038024119
17,0,17,17.8086,0,2.0322901856,270,22.5,22.5
18,0,18,17.8086,-5.14091,2.116189246,-73.8348463015,22.5,22.5961975881
19,0,19,17.8086,-10.2818,2.3471939644,-59.8655357975,22.5,22.6923383319
20,0,20,17.8086,-15.4227,2.6876566789,-48.8917630908,22.5,22.7883659714
21,0,21,17.8086,-20.5636,3.1017691839,-40.5930261101,22.5,22.8842239324
22,0,22,13.3565,23.1341,3.049442979,209.6597760464,-22.5,-22.9246320139
23,0,23,13.3565,17.9932,2.5587113679,216.3382830761,-22.5,-22.8305778666
24,0,24,13.3565,12.8523,2.1177403126,225.942580209,-22.5,-22.7363259325
25,0,25,13.3565,7.71136,1.7623222343,239.9195753516,-22.5,-22.6418322143
26,0,26,13.3565,2.57045,1.5565539174,259.0844832067,-22.5,-22.5472535318
27,0,27,13.3565,-2.57045,1.5565539174,-79.0844832067,-22.5,-22.4527464682
28,0,28,13.3565,-7.71136,1.7623222343,-59.9195753516,-22.5,-22.3581677857
29,0,29,13.3565,-12.8523,2.1177403126,-45.942580209,-22.5,-22.2636740675
30,0,30,13.3565,-17.9932,2.5587113679,-36.3382830761,-22.5,-22.1694221334
31,0,31,13.3565,-23.1341,3.049442979,-29.6597760464,-22.5,-22.0753679861
32,0,32,8.90432,25.7045,3.1091725378,198.7222232673,22.5,22.0366925211
33,0,33,8.90432,20.5636,2.5612769198,203.1256583477,22.5,22.1290143274
34,0,34,8.90432,15.4227,2.0371314089,209.811728269,22.5,22.2215623392
35,0,35,8.90432,10.2818,1.5565539174,220.8032418727,22.5,22.3142802775
36,0,36,8.90432,5.14091,1.1770271876,239.986593538,22.5,22.4071116989
37,0,37,8.90432,0,1.0217436492,-90,22.5,22.5
38,0,38,8.90432,-5.14091,1.1770271876,-59.986593538,22.5,22.5928883011
39,0,39,8.90432,-10.2818,1.5565539174,-40.8032418727,22.5,22.6857197225
40,0,40,8.90432,-15.4227,2.0371314089,-29.811728269,22.5,22.7784376608
