#   npix      mod  mod_pix          X(foc)          Y(foc)           theta             phi        omt(foc)        omt(ffr)
       0        0        0    5.7398973830    2.7421580400    0.7295801998   64.3733954529    0.0000000000    0.0000000000
       1        0        1    0.5310688720    1.7415423690    0.2107854958   16.7825683780    0.0000000000    0.0000000000
       2        0        2    0.4713985690   -2.6323899780    0.3040894951  169.7674602320    0.0000000000    0.0000000000
       3        0        3    3.9223220730   -2.6925732680    0.5441529217  124.3035570520    0.0000000000    0.0000000000
       4        0        4    5.7051202240    0.5501436550    0.6570058580   84.3568915816    0.0000000000    0.0000000000
       5        0        5    2.2440820680    0.6201936170    0.2675047654   74.0337121526    0.0000000000    0.0000000000
       6        0        6    3.9572145500   -0.5105404300    0.4570053074   97.0837553073    0.0000000000    0.0000000000
       7        0        7    2.2193042430   -1.5717058920    0.3102422512  124.9420780581    0.0000000000    0.0000000000
       8        0        8    3.9919917100    1.6814739550    0.4972162810   66.9411753036    0.0000000000    0.0000000000
       9        0        9    5.6702277470   -1.6318891820    0.6757965997  105.9350850706    0.0000000000    0.0000000000
      10        0       10    2.1844117660   -3.7537387300    0.4959911164  149.6866194022    0.0000000000    0.0000000000
      11        0       11    0.5061757290   -0.4403755930    0.0751575298  129.4948856100    0.0000000000    0.0000000000
      12        0       12    5.6354545550   -3.8233073140    0.7798551630  124.0878204437    0.0000000000    0.0000000000
      13        0       13    2.2789745450    2.8022264540    0.4157022639   38.9235674458    0.0000000000    0.0000000000
